original_idx,prob_clean_target,prob_bd_target,cate,prob_bd_noise_target,prob_bd_occ_target
0,1.6721352949389257e-05,0.9834105372428894,0.98339381588994,0.9790458679199219,0.9649806618690491
1,2.4258008579636225e-06,0.9983331561088562,0.9983307303079982,0.9971676468849182,0.22341781854629517
2,4.722025551018305e-05,0.8339652419090271,0.8339180216535169,0.6920889019966125,0.9979230761528015
4,5.221012315814733e-07,0.7820942997932434,0.7820937776920118,0.7002674341201782,0.964830756187439
5,3.881101292790845e-06,0.9712429642677307,0.9712390831664379,0.5930581092834473,0.04098113626241684
6,8.567333134124056e-05,0.936474621295929,0.9363889479645877,0.7646514773368835,0.15852117538452148
7,1.225436972163152e-05,0.6940696239471436,0.6940573695774219,0.5723251700401306,0.8961471915245056
8,5.9911191783612594e-05,0.9843810796737671,0.9843211684819835,0.9673948884010315,0.8386580348014832
9,4.5490454795071855e-05,0.7427336573600769,0.7426881669052818,0.7636992931365967,0.24872638285160065
11,2.94015421786753e-06,0.9977864027023315,0.9977834625481137,0.9951791763305664,0.985383152961731
12,1.0375058991485275e-05,0.9849731922149658,0.9849628171559743,0.9633322954177856,0.10495566576719284
13,1.8663395167095587e-06,0.995736837387085,0.9957349710475683,0.9940949082374573,0.700427234172821
14,3.668718818516936e-06,0.9700679183006287,0.9700642495818101,0.9501171708106995,0.338390052318573
15,8.863401490089018e-06,0.14186714589595795,0.14185828249446786,0.10769153386354446,0.0018724709516391158
16,1.5159435861278325e-05,0.979362964630127,0.9793478051942657,0.9381546974182129,0.1402556151151657
17,9.269612928619608e-05,0.927899956703186,0.9278072605738998,0.9221209287643433,0.9029681086540222
18,3.882401529153867e-07,0.9723247289657593,0.9723243407256064,0.9383635520935059,0.08496029675006866
19,5.915076599194435e-06,0.4822300672531128,0.4822241521765136,0.44925743341445923,0.012080980464816093
20,0.0009404101874679327,0.9907240271568298,0.9897836169693619,0.9804122447967529,0.0026088152080774307
22,0.22337046265602112,0.9307343363761902,0.7073638737201691,0.9212117195129395,0.9888867735862732
23,6.493309774668887e-05,0.9995630383491516,0.9994981052514049,0.9983901977539062,0.868825376033783
24,1.0647484316450573e-07,0.9951790571212769,0.9951789506464337,0.9990198612213135,0.444570928812027
25,0.000951685244217515,0.7646506428718567,0.7636989576276392,0.6910080909729004,0.22791042923927307
26,8.323239853780251e-06,0.6503950953483582,0.6503867721085044,0.9553093910217285,0.0011255916906520724
28,2.3459769238343142e-07,0.9757803678512573,0.9757801332535649,0.9121674299240112,0.002264366950839758
29,6.226185359992087e-05,0.8772385716438293,0.8771763097902294,0.7660210132598877,0.08483604341745377
30,2.238593515357934e-05,0.9797207117080688,0.9796983257729153,0.9599801301956177,0.009377784095704556
31,5.247612193670648e-07,0.9894367456436157,0.9894362208823964,0.9734366536140442,0.7752484679222107
32,2.1761504740425153e-06,0.9611208438873291,0.9611186677368551,0.9430888295173645,0.9719197154045105
33,1.2274638720555231e-05,0.914920449256897,0.9149081746181764,0.8196383118629456,0.9806171655654907
34,0.001058910507708788,0.9783973693847656,0.9773384588770568,0.9811928272247314,0.562323808670044
35,1.8803609691531165e-06,0.7988890409469604,0.7988871605859913,0.5090373754501343,0.14497452974319458
36,4.439419569735037e-07,0.9712864756584167,0.9712860317164598,0.9885783195495605,0.010221079923212528
37,2.183629845831092e-07,0.9971490502357483,0.9971488318727637,0.9972363710403442,0.013101836666464806
38,2.2216922843654174e-06,0.9968530535697937,0.9968508318775093,0.9911380410194397,0.5531491637229919
39,6.882880552439019e-05,0.17097368836402893,0.17090485955850454,0.019865578040480614,0.02796485833823681
40,0.00028955162269994617,0.8667812943458557,0.8664917427231558,0.8403657078742981,0.6210796236991882
41,1.991828321479261e-05,0.7692479491233826,0.7692280308401678,0.853215217590332,0.06349144130945206
42,0.00015430506027769297,0.9941697120666504,0.9940154070063727,0.9968438148498535,0.4734850525856018
43,8.855242413119413e-06,0.6488516926765442,0.6488428374341311,0.6938650012016296,0.016711944714188576
45,1.8043634781861329e-06,0.9950124621391296,0.9950106577756515,0.9949101805686951,0.23156431317329407
46,0.0004090856818947941,0.960252046585083,0.9598429609031882,0.9089744687080383,0.9760821461677551
47,0.006295876111835241,0.9815682768821716,0.9752724007703364,0.9797648191452026,0.9898521304130554
48,3.691393430926837e-07,0.9854702949523926,0.9854699258130495,0.9864529967308044,0.005315206479281187
49,5.161671197129181e-06,0.9470340609550476,0.9470288992838505,0.965559720993042,0.9865971207618713
50,0.00011941554839722812,0.9892917275428772,0.98917231199448,0.9889047741889954,0.5739210844039917
51,4.703236118075438e-05,0.9399679899215698,0.9399209575603891,0.9062392115592957,0.3440670073032379
53,8.167723717633635e-05,0.9943042397499084,0.9942225625127321,0.9855442643165588,0.4544583261013031
54,5.842407063028077e-06,0.989151120185852,0.989145277778789,0.9761817455291748,0.22466053068637848
55,1.0131545877811732e-06,0.7861838340759277,0.78618282092134,0.7989711165428162,0.29138609766960144
56,0.00024904764723032713,0.998427152633667,0.9981781049864367,0.998348593711853,0.42807382345199585
