,epoch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,train_cross_acc_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,cross_test_loss_avg_over_batch,ra_test_loss_avg_over_batch,test_acc,test_asr,test_ra,test_cross_acc
0,26,2.362226141993042,0.45972,0.45736510437179995,0.6755546075085325,0.22866894197952217,0.2642918088737201,1.2391813072977187,0.8360001562346875,2.085033196437208,2.6441324462353344,0.5727,0.7031111111111111,0.18922222222222224,0.31
1,27,1.7639003796955508,0.64074,0.6509698700275699,0.8139931740614335,0.23741467576791808,0.378839590443686,0.9389574391932427,0.6325397844045935,1.6223933500579641,2.4521528532807255,0.6708,0.7812222222222223,0.16466666666666666,0.4103
2,28,1.5451882214802306,0.7131,0.7317103190232375,0.8131399317406144,0.2521331058020478,0.4517918088737201,0.8232543709911878,0.5773037357229582,1.4622968344748775,2.538256947423371,0.7326,0.787,0.1837777777777778,0.4782
3,29,1.4124994137707878,0.76038,0.782616187475384,0.8244453924914675,0.2589590443686007,0.5036262798634812,0.6947077380705483,0.41186061963229115,1.452457485319693,2.865517753950307,0.7722,0.853,0.1298888888888889,0.4916
4,30,1.3347274436975074,0.78664,0.808536825521859,0.835537542662116,0.23784129692832764,0.547994880546075,0.5902846708327909,0.4902418188645806,1.2171510201466234,2.5440877927860743,0.8019,0.8207777777777778,0.15688888888888888,0.5502
5,31,1.2793183561481174,0.80554,0.8259403308389129,0.8521757679180887,0.22653583617747441,0.5821245733788396,0.7609186810028704,0.9638212608619475,1.1172746182242526,2.3716581337888476,0.7538,0.6474444444444445,0.2871111111111111,0.618
6,32,1.2251098076705738,0.8206,0.8441807798345805,0.8511092150170648,0.23570819112627986,0.5857508532423208,0.5168020853513404,0.40284066091121085,1.1686177133004876,2.8987495361919136,0.8241,0.8544444444444445,0.13033333333333333,0.5847
7,33,1.1909532031744643,0.83558,0.8591719180779834,0.8598549488054608,0.22674914675767918,0.6068686006825939,0.6013154779808431,0.43384722588767466,1.1937373770943172,2.9276993979870434,0.8083,0.8392222222222222,0.14577777777777778,0.5901
8,34,1.1584264937873996,0.84244,0.8644643560456873,0.8728668941979523,0.21331058020477817,0.621160409556314,0.463899312517311,0.41582742795138294,1.1821119936206672,3.200851537811924,0.8513,0.8468888888888889,0.14266666666666666,0.5997
9,35,1.1231911635154959,0.85816,0.8765754233950375,0.890358361774744,0.19773890784982937,0.6663822525597269,0.5995369568655763,0.917526576720493,0.8864252061783513,1.8673189223652156,0.8059,0.6253333333333333,0.31433333333333335,0.6844
10,36,1.1064455795775898,0.86192,0.8813016935801496,0.8835324232081911,0.20968430034129693,0.6723549488054608,0.5294789373874664,0.31192487918994793,1.0402421166625204,2.8585323380752348,0.8312,0.8994444444444445,0.09066666666666667,0.612
11,37,1.0802685019305296,0.87216,0.8913204017329658,0.893344709897611,0.19773890784982937,0.6849402730375427,0.5207261492179919,0.4341750766190005,1.2096290331852586,3.312778795269174,0.8402,0.8363333333333334,0.14433333333333334,0.6133
12,38,1.053926463474703,0.8792,0.8970313115399764,0.9014505119453925,0.19112627986348124,0.7024317406143344,0.47883991953692856,0.19021609782333104,1.297190850294089,4.542089999561578,0.8443,0.9372222222222222,0.05466666666666667,0.5929
