,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,390,1.490298195068653,0.45348557692307695,0.42903247345812284,0.6736125025045081,0.21478661590863554,1.47594513923307,0.3435662693121064,0.5042,0.8852222222222222,0.07322222222222222
1,1,390,0.9364127953847249,0.6657251602564103,0.6328451882845189,0.9619085805934242,0.1285084202085004,1.0527332515656194,0.14481901697499652,0.6374,0.9577777777777777,0.028888888888888888
2,2,390,0.7046946473610707,0.7522235576923076,0.7268579314028801,0.9805650170306551,0.11761170106191145,0.7032400769523427,0.07630969266551481,0.7589,0.9731111111111111,0.024555555555555556
3,3,390,0.5781028011670479,0.799639423076923,0.7789227687513911,0.9861723446893788,0.11302605210420842,0.7823791881150837,0.008088301097481055,0.7433,0.9972222222222222,0.002111111111111111
4,4,390,0.497190292370625,0.8299278846153846,0.8118851546850656,0.9923847695390782,0.10741482965931863,0.735582430528689,0.01282295944710454,0.7686,0.9956666666666667,0.004111111111111111
5,5,390,0.4419185725542215,0.848036858974359,0.8318753478018921,0.9933933933933934,0.1065065065065065,0.7188254421270346,0.001167980856499561,0.7769,0.9994444444444445,0.00044444444444444447
6,6,390,0.39855722265365795,0.8629206730769231,0.8483607469563088,0.9939891805249449,0.10639150470847525,0.5821387469768524,0.018471498640023974,0.8036,0.9944444444444445,0.0047777777777777775
7,7,390,0.36437834669382146,0.8752203525641026,0.8618295125751169,0.9957915831663327,0.10380761523046092,0.5499577394014672,0.0037618868398669107,0.8225,0.9987777777777778,0.0012222222222222222
8,8,390,0.339626751992947,0.8839342948717949,0.8713748358521223,0.9969945902624725,0.1035864556201162,0.49249510410465774,0.006198935588697927,0.843,0.998,0.002
9,9,390,0.30746200917622984,0.8933693910256411,0.8820334757834758,0.9953926282051282,0.1045673076923077,0.44307684407958503,0.0008449755736327522,0.8498,0.9996666666666667,0.0003333333333333333
10,10,390,0.28387926121552787,0.90234375,0.8917673766441877,0.9975947083583885,0.10322709961916215,0.47486404508729524,0.0021448726482409964,0.8449,0.9991111111111111,0.0008888888888888889
11,11,390,0.27278690189123156,0.9045072115384616,0.8941616399937676,0.9975966352894051,0.10234328059282996,0.49170347784138935,0.0017831792849038893,0.8473,0.9992222222222222,0.0006666666666666666
12,12,390,0.24717767815559338,0.9134415064102565,0.9040528810843294,0.997995590298657,0.10282621767889356,0.4029764086008072,0.003016273558285506,0.8682,0.999,0.001
13,13,390,0.23496500330093578,0.9166666666666666,0.9077614797337904,0.9967955137192069,0.10274384137792911,0.41701471409465696,0.01024374719700255,0.8696,0.9963333333333333,0.0036666666666666666
14,14,390,0.22669062652649025,0.9214342948717948,0.9129234741575034,0.9979975971165399,0.10272326792150581,0.4282397139298765,0.0007779891806645819,0.8667,0.9997777777777778,0.00022222222222222223
15,15,390,0.2091501846240881,0.926161858974359,0.9181579415954416,0.9981971153846154,0.10236378205128205,0.3846703869632528,0.00037326617196338605,0.881,0.9998888888888889,0.00011111111111111112
16,16,390,0.19581006047053215,0.9314503205128205,0.9240819051858447,0.9977955911823647,0.10180360721442885,0.3825920920206022,0.02725709219463733,0.8793,0.9934444444444445,0.006333333333333333
17,17,390,0.18836648397338696,0.9337139423076923,0.9266875876343728,0.9969933854479855,0.10362798155943075,0.5281216637997688,5.7349408976936006e-05,0.8485,1.0,0.0
18,18,390,0.17544211323062578,0.9388621794871795,0.9322694088319088,0.9981971153846154,0.10216346153846154,0.42468146338493007,0.0010146445755906568,0.8724,0.9996666666666667,0.0003333333333333333
19,19,390,0.1673224219144919,0.9415064102564102,0.9351866277905139,0.9983971148066519,0.10218393107593668,0.36213175084771987,0.0028347178381568725,0.8859,0.9993333333333333,0.0006666666666666666
20,20,390,0.15382139254838992,0.9467548076923077,0.9410861339862008,0.9977955911823647,0.10300601202404809,0.43001072712336913,0.00010924757840157401,0.8749,0.9998888888888889,0.00011111111111111112
21,21,390,0.14824039275065445,0.9486778846153846,0.943225318258702,0.9977947072975141,0.10244587008821171,0.43393720497813404,0.0023164943507038346,0.8759,0.9992222222222222,0.0007777777777777777
22,22,390,0.13758839854063132,0.9521033653846154,0.9468494736139242,0.9993989180524945,0.10118212783009417,0.4037014700566666,2.310962960295118e-06,0.8845,1.0,0.0
23,23,390,0.12872554952135454,0.9547676282051282,0.9498787029000022,0.9987973541791942,0.1014231308879535,0.47387246372579017,0.0003715670764471896,0.8767,0.9996666666666667,0.0003333333333333333
24,24,390,0.12685023104915252,0.9547876602564103,0.949984418822063,0.9979975971165399,0.10272326792150581,0.4121066929796074,0.0001749516521789406,0.8843,0.9998888888888889,0.00011111111111111112
25,25,390,0.12172444253586806,0.9567307692307693,0.952031163049527,0.998998998998999,0.1013013013013013,0.3970696292346037,0.00030628606139332306,0.8916,0.9998888888888889,0.00011111111111111112
26,26,390,0.11534103959416732,0.9595152243589744,0.9551029493600445,0.9991991991991992,0.1015015015015015,0.3516295921481863,0.0017094057199694905,0.8986,0.9994444444444445,0.0005555555555555556
27,27,390,0.10393482844512432,0.9627203525641026,0.9586922169548864,0.9989977951493285,0.10102224894768491,0.4160548996510385,0.0018331755382144197,0.8899,0.9994444444444445,0.0005555555555555556
28,28,390,0.10034923056761423,0.9644030448717948,0.9605626279711564,0.9989975942261428,0.1016439454691259,0.37316128894498074,0.004267371044534279,0.9017,0.9988888888888889,0.0011111111111111111
