,epoch,train_epoch_loss_avg_over_batch,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,1,1.4083136884147858,1.1705027139639552,5.783184461190667,0.5999,0.054,0.5962222222222222
1,2,0.9114227057113062,0.9292726773249952,8.814847435749753,0.6885,0.004222222222222222,0.711
2,3,0.9367521817574416,1.0621945873091492,0.11667918240730192,0.6423,0.9613333333333334,0.03688888888888889
3,4,0.6223492482891473,1.2868912461437756,0.059034302476531186,0.5825,0.9795555555555555,0.020444444444444446
4,5,0.525918271459277,1.2209471034098276,0.01252594472460029,0.5841,0.9965555555555555,0.0034444444444444444
5,6,0.4619125909817493,1.106493306310871,0.0046563782945642585,0.6239,0.9993333333333333,0.0006666666666666666
6,7,0.4238780827625938,1.0685758009741577,0.015807995648110206,0.6392,0.9948888888888889,0.005111111111111111
7,8,0.3825020098015475,0.8482722549498836,0.012812021313051522,0.719,0.9975555555555555,0.0023333333333333335
8,9,0.35647583770020236,0.827144179917589,0.062176608126348176,0.7259,0.9803333333333333,0.019222222222222224
9,10,0.32712129204322005,0.9179157199738901,0.08264976432940489,0.6844,0.9708888888888889,0.028555555555555556
10,11,0.3063439941391006,1.0803764266303824,0.017444011663467113,0.6627,0.996,0.0038888888888888888
11,12,0.2830428707096583,0.6995605924461461,0.023495826096287076,0.7733,0.9944444444444445,0.005555555555555556
12,13,0.27032918987981497,0.9752058145366137,0.05763608306436471,0.6788,0.9816666666666667,0.016888888888888887
13,14,0.25407362746460666,0.6398085744320592,0.055186185959569166,0.7804,0.9812222222222222,0.018111111111111113
14,15,0.2374059660622226,0.8207366111912305,0.018831566940258507,0.7308,0.9956666666666667,0.004
15,16,0.22582208609108426,0.7924683060072646,0.11342416042593163,0.7462,0.9643333333333334,0.029111111111111112
16,17,0.20950157547850742,0.9722479551653319,0.026879133341807714,0.7103,0.9902222222222222,0.009777777777777778
17,18,0.20268171332071505,0.8764133211932604,0.05034057006344829,0.7319,0.9834444444444445,0.016444444444444446
18,19,0.19153800614349678,0.6145779162268096,0.0644283273427839,0.7998,0.981,0.01633333333333333
19,20,0.18127895280947465,0.6471831783463683,0.01562253690757592,0.7943,0.9966666666666667,0.0033333333333333335
20,21,0.16863414887195963,0.62783394018306,0.008989235523983206,0.8035,0.998,0.002
21,22,0.15869223671343624,0.5199253628902798,0.1658444808612407,0.8381,0.9424444444444444,0.05522222222222222
22,23,0.1553928124172913,0.5800280386134039,0.031238960954819768,0.8192,0.9896666666666667,0.009222222222222222
23,24,0.14626457178226823,0.7066422221781332,0.029526823790560305,0.7847,0.9913333333333333,0.008333333333333333
24,25,0.1365301825506303,0.7044383913655824,0.09626288447056858,0.7931,0.9671111111111111,0.03144444444444444
25,26,0.12723754932317893,0.7855519663683975,0.03689625095182531,0.7695,0.9888888888888889,0.010888888888888889
26,27,0.12326409858282265,0.772594617137426,0.032603720714613586,0.7715,0.989,0.009444444444444445
27,28,0.11725802784380705,0.7394898348971258,0.03718928466747764,0.7906,0.99,0.009777777777777778
28,29,0.10725903648244756,0.8215970193283467,0.04209098104439991,0.7713,0.9873333333333333,0.010222222222222223
29,30,0.10312489216761364,0.7582090919530844,0.08048010045583819,0.7874,0.9717777777777777,0.023
30,31,0.10323259837525275,0.6128050492534155,0.16535749559251356,0.825,0.9428888888888889,0.049777777777777775
31,32,0.09111238810736352,0.6794209759446639,0.021800348522062873,0.8059,0.9925555555555555,0.007222222222222222
32,33,0.09127150146800386,0.6159830587574199,0.025053428840154494,0.8314,0.992,0.005666666666666667
33,34,0.08603525771271162,0.7632506655741341,0.038971626855642864,0.7849,0.9884444444444445,0.008666666666666666
34,35,0.0806416878310006,0.595350089706952,0.04636971266861533,0.8394,0.9848888888888889,0.015
35,36,0.07811259554789575,0.5647979710675493,0.0950491168129612,0.8463,0.9645555555555556,0.030666666666666665
36,37,0.0722169147297035,0.8016280128231531,0.027536802603797594,0.7888,0.9913333333333333,0.008444444444444444
37,38,0.0641732933428472,0.663260436510738,0.055995941030937184,0.8282,0.9803333333333333,0.019444444444444445
38,39,0.06595007098420426,0.6382653335981732,0.07959436622618789,0.8305,0.9754444444444444,0.021666666666666667
39,40,0.05945078307367347,0.5047880831775786,0.20753083755852472,0.8646,0.9317777777777778,0.06677777777777778
40,41,0.05868104503482885,0.6291846172719062,0.07023739032972028,0.8306,0.976,0.023
41,42,0.05129996755236612,0.5361288501114785,0.041841298617212704,0.8585,0.9865555555555555,0.012777777777777779
42,43,0.04652887275275748,0.4878535800719563,0.17722565229509918,0.8763,0.9432222222222222,0.05577777777777778
43,44,0.042369553079719055,0.6719611351248584,0.015639472162534654,0.8454,0.9955555555555555,0.0044444444444444444
44,45,0.043536382975042476,0.5180986685843407,0.02367747287777528,0.8634,0.9907777777777778,0.009111111111111111
45,46,0.03783116870157211,0.6500771192810203,0.07311247323285526,0.8425,0.974,0.025
46,47,0.037655212539498266,0.6774688527176652,0.03277872494933471,0.8411,0.99,0.009777777777777778
47,48,0.03437412923673534,0.5474483989462068,0.10218074193722765,0.8676,0.9636666666666667,0.030111111111111113
48,49,0.029193200365416325,0.5870162099599838,0.16470706169034394,0.862,0.9385555555555556,0.05566666666666667
