,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,390,1.5846458508418158,0.4124599358974359,0.4350642124240468,0.20897615708274894,0.43297936285313565,1.255033548874191,1.7638368153236281,0.5552,0.19733333333333333,0.5282222222222223
1,1,390,1.167331720621158,0.5849158653846154,0.6337354224160955,0.14514835605453089,0.6353247794707297,1.0684162363221374,2.2210256616834183,0.638,0.12611111111111112,0.6126666666666667
2,2,390,0.9813982969675309,0.6591346153846154,0.7179104809811035,0.13003406131035863,0.7058705670206371,0.8312300866163229,2.8181762359511686,0.7301,0.04633333333333333,0.7275555555555555
3,3,390,0.8703474156367473,0.705448717948718,0.7695971511239706,0.12785571142284569,0.756312625250501,0.7968595737143408,2.8126706170364164,0.7513,0.035444444444444445,0.7387777777777778
4,4,390,0.7999123409772531,0.732792467948718,0.8000890273759181,0.12685370741482965,0.7887775551102204,0.73716381494003,2.3454475671472683,0.7738,0.017777777777777778,0.7866666666666666
5,5,390,0.7500893189356878,0.7501201923076923,0.8204340567612688,0.11771771771771772,0.8076076076076076,0.6619796009757851,2.6608431372843997,0.8014,0.03266666666666666,0.7945555555555556
6,6,390,0.7027915853720444,0.7676482371794872,0.8394355538738899,0.121418553396113,0.819675415748347,0.5740922082074081,3.120391402446048,0.8162,0.025444444444444443,0.8096666666666666
7,7,390,0.6712957486892358,0.7774839743589743,0.8504117516136211,0.12084168336673347,0.8284569138276553,0.6463158243819128,2.6664349327624683,0.8066,0.06777777777777778,0.791
8,8,390,0.6431628818695362,0.7889423076923077,0.8622048120367691,0.12943297936285314,0.8310959727509517,0.5103736331191244,3.054668752240463,0.8426,0.028666666666666667,0.84
9,9,390,0.6117712222612821,0.7998998397435897,0.8745771011396012,0.12780448717948717,0.8325320512820513,0.6389037302777737,1.9168587956630008,0.8251,0.048666666666666664,0.812
10,10,390,0.5954648537513537,0.8052684294871795,0.8810398166076874,0.12287031469232311,0.8428542794147124,0.5121586300149749,2.605574775749529,0.8485,0.03322222222222222,0.8401111111111111
11,11,390,0.464275262485712,0.8440304487179487,0.8838115164600352,0.48608051271780495,0.536751452032846,0.46499484928348395,0.10204833727592313,0.851,0.9662222222222222,0.02722222222222222
12,12,390,0.2802411934122061,0.9028645833333333,0.8925240924973848,0.9959911805973141,0.10483062738023652,0.4783990773596341,0.009048941969038578,0.8439,0.997,0.0026666666666666666
13,13,390,0.2636923001362727,0.9100560897435898,0.9003939724441873,0.9969957941117564,0.10314440216302824,0.49834423087820223,0.00012557988671386752,0.8469,0.9998888888888889,0.00011111111111111112
14,14,390,0.24673764896698488,0.9153245192307692,0.9061345323420736,0.9979975971165399,0.10252302763315979,0.42749428956568997,0.001340736297645211,0.8703,0.9995555555555555,0.00044444444444444447
15,15,390,0.2234476529634916,0.9225360576923077,0.9141070156695157,0.9983974358974359,0.10216346153846154,0.44105151540870907,0.0016864040661742582,0.8634,0.9995555555555555,0.00044444444444444447
16,16,390,0.21016147944789668,0.926161858974359,0.9181838415312709,0.9979959919839679,0.10200400801603206,0.41461200012436394,0.002146348754246299,0.8731,0.9992222222222222,0.0007777777777777777
17,17,390,0.19652620166158064,0.9321915064102564,0.9249070797444972,0.9977951493285228,0.10262577670875928,0.4192032689535165,1.5325914937636914e-06,0.8745,1.0,0.0
18,18,390,0.18778042829571626,0.9349759615384615,0.9279513888888888,0.9981971153846154,0.10216346153846154,0.47895350120961666,0.00020503933568430114,0.8528,0.9998888888888889,0.00011111111111111112
19,19,390,0.1773140145991093,0.9368790064102565,0.9300006677201808,0.998797836104989,0.10158284912843117,0.36864579270912123,0.003990181867675987,0.8858,0.9984444444444445,0.0015555555555555555
20,20,390,0.1672791485220958,0.9412660256410257,0.9348319608279546,0.9991983967935871,0.10160320641282565,0.44002626534504224,3.2508732369014366e-06,0.8679,1.0,0.0
21,21,390,0.15696824403145374,0.9442307692307692,0.9382177512685836,0.9983961507618284,0.10224538893344026,0.41642619443090656,0.002622493678412046,0.878,0.9991111111111111,0.0007777777777777777
22,22,390,0.1491018489480783,0.9474959935897436,0.941797057579737,0.998797836104989,0.10158284912843117,0.40925250164692917,0.000925433266396615,0.8808,0.9996666666666667,0.0003333333333333333
23,23,390,0.13776565914352734,0.9518830128205128,0.9466737886982262,0.9987973541791942,0.1018240128282221,0.447710870941983,3.336599953388327e-06,0.8753,1.0,0.0
24,24,390,0.13298641645755524,0.952323717948718,0.9471130303165205,0.999199038846616,0.1013215859030837,0.371234090645102,4.0263444156342074e-05,0.8921,1.0,0.0
25,25,390,0.12681081764017924,0.9556490384615385,0.9508959376739009,0.9983983983983984,0.1023023023023023,0.39796702865558337,4.1721394676103264e-05,0.8887,1.0,0.0
26,26,390,0.11860200567409779,0.9584735576923077,0.9539899833055092,0.9987987987987988,0.1019019019019019,0.45093433389180826,0.0002509830065127391,0.8749,0.9998888888888889,0.00011111111111111112
27,27,390,0.11133230810937209,0.9618990384615385,0.9577574503127017,0.9991982361194628,0.1012226899178192,0.3704830596718607,8.219634450267516e-05,0.8966,1.0,0.0
28,28,390,0.10360681821042911,0.9635616987179487,0.9595611145731328,0.9995990376904571,0.1008420208500401,0.3972741810581352,4.819541695961364e-06,0.8888,1.0,0.0
29,29,390,0.10018017297753921,0.9650240384615385,0.9612320291983798,0.9991977537103891,0.10128359406337746,0.33807028415082374,2.0896480202072453e-07,0.9044,1.0,0.0
30,30,390,0.09606728293956854,0.9657251602564103,0.9620041846592173,0.999199038846616,0.10152182619142971,0.3560445025751862,1.5364661055788072e-05,0.8999,1.0,0.0
